sample_id,original_text,reference_summary,generated_summary,rouge-1-p,rouge-1-r,rouge-1-f,rouge-2-p,rouge-2-r,rouge-2-f,rouge-l-p,rouge-l-r,rouge-l-f,bleu
10,如今，用手机软件叫“代驾”是件时尚而方便的事情，可是一旦发生交通事故，车主、代驾人、手机代驾软件及保险公司，究竟由谁来付“代价”？上海浦东新区法院9日宣判一起新类型案件，软件运行公司被判担责。,全国首例涉代驾软件交通事故案宣判,如今，用手机软件叫“代驾”是件时尚而方便的事情，可是一旦发生交通事故，车主、代驾人、手机代驾软件及保险公司，究竟由谁来付“代价”？,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005641822153183602
11,中央全面深化改革领导小组第十次会议审议通过了《深化人民监督员制度改革方案》，提出由司法行政机关负责人民监督员的选任和培训等管理工作，解决了检察机关“自己选人监督自己”的问题，使人民监督员的监督更有说服力....>>,全面深化人民监督员制度改革,中央全面深化改革领导小组第十次会议审议通过了《深化人民监督员制度改革方案》，提出由司法行政机关负责人民监督员的选任和培训等管理工作，解决了检察机关“自己选人监督自己”的问题，使人民监督员的监督更有说服力....>>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043754366275866166
12,（民主与法制网）“老赖”，就是欠钱不还的人。老赖如同阳光下的隐形人，人人喊打但无迹可寻，数量不多甚至寥寥可数，却是让社会头痛的“老大难”。曾有一位法院工作人员对记者无奈地表示：“这些老赖一而再再而三地推脱赖账，很多案件一时难以执行下去。,多部门联合捉“老赖”,老赖如同阳光下的隐形人，人人喊打但无迹可寻，数量不多甚至寥寥可数，却是让社会头痛的“老大难”。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009871721786705418
13,国家税务总局透露，去年税务协同公安等部门共查处发票违法犯罪案件10.2万起，抓获犯罪嫌疑人6014人，缴获假发票6449万份。其中税务部门查处违法企业9.9万户，查补税款106亿元，加收滞纳金10亿元，罚款和没收违法所得18亿元。,去年全国查处发票违法犯罪案件10.2万起,国家税务总局透露，去年税务协同公安等部门共查处发票违法犯罪案件10.2万起，抓获犯罪嫌疑人6014人，缴获假发票6449万份。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17098323692758396
14,环保部决定对存在各类问题的63家建设项目环评机构和22名环评工程师分别作出了取消资质、缩减评价范围、限期整改、通报批评等相应处理。要求所有具有环保部门背景的环评单位全面退出建设项目环评技术服务市场，彻底解决“红顶中介”问题。,环保部要求有背景单位退出环评市场,要求所有具有环保部门背景的环评单位全面退出建设项目环评技术服务市场，彻底解决“红顶中介”问题。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01296247288049188
15,最高法５日公布《关于民事审判监督程序严格依法适用指令再审和发回重审若干问题的规定》，规范民事案件指令再审和发回重审的标准，确保再审程序充分发挥依法纠错功能。该司法解释自２０１５年３月１５日起施行,最新司法解释：确保民事案件再审程序充分发挥纠错功能,最高法５日公布《关于民事审判监督程序严格依法适用指令再审和发回重审若干问题的规定》，规范民事案件指令再审和发回重审的标准，确保再审程序充分发挥依法纠错功能。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03128076343943832
16,4日，最高法、最高检、公安部和司法部联合发布《关于依法办理家庭暴力犯罪案件的意见》，意见明确，对正在进行的家庭暴力采取制止行为，只要符合刑法规定的条件，就应当依法认定为正当防卫，不负刑事责任。,四部门明确认定家暴正当防卫：免刑罚或轻判,4日，最高法、最高检、公安部和司法部联合发布《关于依法办理家庭暴力犯罪案件的意见》，意见明确，对正在进行的家庭暴力采取制止行为，只要符合刑法规定的条件，就应当依法认定为正当防卫，不负刑事责任。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047291810340735615
17,对于消费者网购后悔权，即“七天内无理由可退货”，商家常以“已拆封”等为由拒绝执行。3月15日起，国家工商总局明确规定，“已拆封”不得作为拒退货理由，故意拒绝或拖延退货商家最高将受到50万元处罚。,工商总局：“已拆封”不能作为拒退货理由,对于消费者网购后悔权，即“七天内无理由可退货”，商家常以“已拆封”等为由拒绝执行。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0925159978069645
18,从选种、育苗、种植、田间管理、加工方法、到冲泡手法等，福山咖啡有一套非常完备的专业技术，福山咖啡品质与口味始终如一。在2015年海报集团年货展上，澄迈福山咖啡联合公司将带着浓郁的福山咖啡给前来展会的市民品尝。,澄迈福山咖啡口感纯正，想尝尝吗,从选种、育苗、种植、田间管理、加工方法、到冲泡手法等，福山咖啡有一套非常完备的专业技术，福山咖啡品质与口味始终如一。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012813098990837714
19,最近，中国载人航天网发布了长征7号火箭矗立在文昌新型移动发射平台上的照片。据悉，长征7号火箭可能在2016年进行首次发射，身处海南亲们到时候记得到文昌围观火箭发射哦~,长征7号来了可以在文昌围观火箭发射咯,据悉，长征7号火箭可能在2016年进行首次发射，身处海南亲们到时候记得到文昌围观火箭发射哦~,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13523285066501545
20,周末采摘杨桃助农，游玩澄迈养生农庄自驾活动，快来报名~1月31日早上8点半出发哦，前往澄迈杨桃园采摘，入园免费，漫山遍野的杨桃和你亲密接触（带走的按2.5元/斤）。报名方式：拨136-3755-3497报名，或戳链接,这个周末自驾游去摘杨桃啦！,报名方式：拨136-3755-3497报名，或戳链接,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,海南省质量技术监督局近日通报了《2014年烟花爆竹产品质量省级监督抽查结果》，海南有2家企业4种产品烟花爆竹不合格，防安、好日子商标名列其中。戳链接查看具体贵规格型号大家要认准了，别买到不合格的哦,好日子是“车大炮”？过年这些鞭炮你们别买,海南省质量技术监督局近日通报了《2014年烟花爆竹产品质量省级监督抽查结果》，海南有2家企业4种产品烟花爆竹不合格，防安、好日子商标名列其中。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005311256555131655
22,海口秀英长流镇墟上的杨小姐寄包裹却遭快递员调戏：让我亲一口就不收你钱。寄个快递，没想到却被快递员出言调戏。丈夫上门讨说法，却还快递员带一伙人手持长棍大刀石头砸了自己的车。,海口快递小哥：让我亲一口就不收你钱！,寄个快递，没想到却被快递员出言调戏。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01571650849186369
23,歌手尹相杰涉嫌非法持有毒品案于今日上午9时在北京市朝阳区人民法院依法公开开庭审理。对公诉机关指控的事实和罪名，尹相杰均无异议并自愿认罪。法官当庭宣布，尹相杰因非法持有毒品罪，一审获刑7个月并处罚金2000元。,歌手尹相杰非法持有毒品一审获刑7个月,法官当庭宣布，尹相杰因非法持有毒品罪，一审获刑7个月并处罚金2000元。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23418123261847468
24,在回答有关工商局和淘宝争议问题时，国家工商总局副局长刘玉亭表示，互联网企业要加强与政府有关部门的沟通，积极反映发展中遇到的问题并提出积极有建设性的意见和建议，政府有关部门要加强对企业的指导。,工商总局回应与淘宝争议：政府要加强对企业的指导,在回答有关工商局和淘宝争议问题时，国家工商总局副局长刘玉亭表示，互联网企业要加强与政府有关部门的沟通，积极反映发展中遇到的问题并提出积极有建设性的意见和建议，政府有关部门要加强对企业的指导。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10106959096989436
25,今天湖南沅江市检察院对陆勇涉嫌“妨害信用卡管理“和”销售假药”案做出最终决定，认为其行为不构成犯罪，决定不起诉。陆勇因给千余网友分享购买仿制格列卫的印度抗癌药渠道被称“抗癌药代购第一人”，后被检方起诉。,检方决定不起诉“抗癌药代购第一人”,今天湖南沅江市检察院对陆勇涉嫌“妨害信用卡管理“和”销售假药”案做出最终决定，认为其行为不构成犯罪，决定不起诉。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03280894525012139
26,《互联网用户账号名称管理规定》将于3月1日正式施行。昨日，国家互联网信息办公室有关负责人表示，多家互联网企业近日已处置微博客、博客、论坛、贴吧和即时通信工具等各类违法违规账号6万余个。,网信办：“账号十条”将施行多网站自查6万个违规账号,《互联网用户账号名称管理规定》将于3月1日正式施行。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015138514598766055
27,下周最高法第一巡回法庭将开庭审理第一宗案件，最高法巡回法庭历史上的首宗案件，有怎样的特别之处？巡回法庭将首次实行主审法官、合议庭办案负责制，这意味着第一宗案件主审法官将敲响这一制度历史上的“第一槌”,最高法第一巡回法庭将开审首案：跨省买卖合同纠纷,下周最高法第一巡回法庭将开庭审理第一宗案件，最高法巡回法庭历史上的首宗案件，有怎样的特别之处？,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17098323692758396
28,针对政府采购活动中也暴露出质量不高、效率低下等问题，特制定该条例，完善政府采购制度，进一步促进政府采购的规范化、法制化，构建规范透明、公平竞争、监督到位、严格问责的政府采购工作机制。,政府采购法实施条例3月1日施行,针对政府采购活动中也暴露出质量不高、效率低下等问题，特制定该条例，完善政府采购制度，进一步促进政府采购的规范化、法制化，构建规范透明、公平竞争、监督到位、严格问责的政府采购工作机制。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008409805259239591
29,公安部会同国家网信办、工信部、环保部、工商总局、安监总局制定出台《互联网危险物品信息发布管理规定》，进一步加强对互联网危险物品信息的管理，规范危险物品从业单位信息发布行为。规定自2015年3月1日起执行。,新规：禁止个人在互联网上发布危险物品信息,规定自2015年3月1日起执行。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,银行卡含有大量信息，例如公民个人身份信息、账户信息等。能否收藏他人银行卡，收藏都有哪些法律风险以及容许自己的卡进入收藏流通领域对于持卡人会不会具有不利法律后果等问题？戳长微博了解↓↓↓,收藏银行卡隐藏多重法律风险5张以上就有可能犯罪,银行卡含有大量信息，例如公民个人身份信息、账户信息等。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01428363257865929
31,说起熊孩子，就想到“牛爸爸”。1月23日傍晚，因女儿要结婚，在公园保安部当部长的老爸就可以开方便之门，让客人把车停到公园里面。八项规定都这么久了，这位保安部长还敢这么干，可真是位“牛爸爸”。,“熊孩子”VS“牛爸爸”,八项规定都这么久了，这位保安部长还敢这么干，可真是位“牛爸爸”。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11369306152454814
32,已经步入2015半个月了，冬天也过去一大半了，接下来我们就要好好“筹备”一下2015春装的事儿。蕾丝绝对是不能舍弃的元素，在现在这个乍寒乍暖的天气，南海君教你怎么用蕾丝搭配来丰富我们的细节吧！美丽猛戳,让蕾丝搭配来丰富小细节2015要继续美下去,已经步入2015半个月了，冬天也过去一大半了，接下来我们就要好好“筹备”一下2015春装的事儿。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072658577559704465
33,1月31日之后，海口市物价局推出的30天平价菜的相关举措将暂停。但是问题来了，还有不到一个月时间就是春节了。“这个春节，我们还能吃到平价菜吗？”市民希望，这个春节也能吃到便宜、实惠的蔬菜，开开心心过春节。,海口平价菜促销将到期春节还能吃到平价菜吗？,”市民希望，这个春节也能吃到便宜、实惠的蔬菜，开开心心过春节。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05121488961114836
34,杨桃富含对人体健康有益的维生素A、维生素C以及各种纤维质可惜满满几千亩杨桃还在田间无人采摘农民伯伯好伤心。这个周末，我们一起去澄迈摘杨桃咯！！游玩自驾采摘全都不拉下报名请戳→_→→_→,这个周末，一起去澄迈摘杨桃,杨桃富含对人体健康有益的维生素A、维生素C以及各种纤维质可惜满满几千亩杨桃还在田间无人采摘农民伯伯好伤心。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006244385951234721
35,羊年新春后，中国房产、财税、工商等领域一批新政将密集实施：《不动产登记暂行条例》将于2015年3月1日起正式实施；《侵害消费者权益行为处罚办法》将于2015年3月15日起施行,房产、财税、工商等多项新政羊年新春后落地,羊年新春后，中国房产、财税、工商等领域一批新政将密集实施：《不动产登记暂行条例》将于2015年3月1日起正式实施；,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17525531287426316
36,三亚男子和朋友骑摩托车，引发后面摩托车男子故意戏弄，后车超车并“蛇形”驾驶，还恶意踢倒前车。致前车男子六级伤残。交警提醒：驾驶电动车“蛇形”超速行驶，不但面临扣车罚款，当事人可能被拘留，构成严重后果的还将被追究刑事责任。,三亚“飙车党”蛇形驾驶致人六级伤残,三亚男子和朋友骑摩托车，引发后面摩托车男子故意戏弄，后车超车并“蛇形”驾驶，还恶意踢倒前车。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00967763449717078
37,最高人民检察院日前出台意见指出，将积极推动反腐败国家立法，完善惩治和预防腐败体系，形成不敢腐、不能腐、不想腐的有效机制。推动完善惩治贪污贿赂犯罪法律制度，把贿赂犯罪对象由财物扩大为财物和其他财产性利益。,最高检推动反腐败国家立法,最高人民检察院日前出台意见指出，将积极推动反腐败国家立法，完善惩治和预防腐败体系，形成不敢腐、不能腐、不想腐的有效机制。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07261813302549416
38,海南省气象台01月25日18时05分发布大雾橙色预警信号：琼州海峡6小时内可能出现能见度小于200米的雾，或者已经出现能见度小于200米、大于等于50米的雾并将持续，请交通、航运等部门注意做好防范措施。,海南发布大雾橙色预警,海南省气象台01月25日18时05分发布大雾橙色预警信号：琼州海峡6小时内可能出现能见度小于200米的雾，或者已经出现能见度小于200米、大于等于50米的雾并将持续，请交通、航运等部门注意做好防范措施。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03988852501714161
39,小学期末测试临近，不少学校老师在给学生加压。陆续有学生家长向记者反映：小学生每天都要捧两三张试卷回家，晚上10点前根本做不完。为让孩子早点睡，有的家长竟然帮着孩子写作业……,期末临近海口小学生作业多家长忧负担太重帮作弊,小学期末测试临近，不少学校老师在给学生加压。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018476860420522198
40,近日，海口市民反映：“海口电动车越来越多，但这些车往哪里停？海口的电动车停车场存在太多问题，很不规范！”划出块地就收费？占道经营收费乱？海口电动车停放点乱象重重，谁来管管呢？,海口电动车划块地就收费？谁来管管这乱象……,海口电动车停放点乱象重重，谁来管管呢？,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05201772843458374
41,眼下距离不动产登记暂行条例实施时间不过半个月。国土资源部近日披露，由多部委共同组建的不动产统一登记联席会议明确提出，新旧证交替阶段不能乱，要尽快颁布统一的登记薄册和证书，力争今年年底全面颁发新证书。,不动产登记进入倒计时具备发新证地方停发旧版证书,眼下距离不动产登记暂行条例实施时间不过半个月。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03986357128268015
42,25日夜间到26日白天：北部，最低温14-16℃，最高温26-28℃；中部，最低温13-15℃，最高温26-28℃；东部，最低温15-17℃，最高温25-27℃；西部，最低温13-15℃，最高温27-29℃；南部，最低温15-17℃，最高温27-29℃,外套脱掉！脱掉！海南今日最高温直逼30℃,东部，最低温15-17℃，最高温25-27℃；,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030934588294313718
43,多肉植物的外形不仅玲珑讨喜，而且还有丰富的种类，各式各样的形状、色彩，让人眼前一亮、有“小清新”之感。这些“天然萌”的多肉植物将参加2015年海报集团年货展，希望“萌萌哒”的它们能给您增添一份生活乐趣。,萌萌哒多肉植物来啦快快带它回家吧,这些“天然萌”的多肉植物将参加2015年海报集团年货展，希望“萌萌哒”的它们能给您增添一份生活乐趣。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03515491871310962
44,22日晚，今年34岁的女子小倩(化名)在派出所门口，向记者讲述埋在她心中十多年的一个惊天秘密：在她19岁那年，“干爹”符陶武(化名)将她强奸，以裸照要挟，在长达十余年的时间内，成为“干爹”的性伴侣。,海口女子报警：遭干爹强奸10余年为他堕胎5次,22日晚，今年34岁的女子小倩(化名)在派出所门口，向记者讲述埋在她心中十多年的一个惊天秘密：在她19岁那年，“干爹”符陶武(化名)将她强奸，以裸照要挟，在长达十余年的时间内，成为“干爹”的性伴侣。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004024431001434524
45,“4天了，孩子还呆在保温箱里，还没度过危险期，孩子的妈妈也在住院，正为后续治疗费发愁。”据悉，同卵三胞胎，比中百万巨奖几率还低，早产的三姐妹都在危险期，孩子爸妈却再拿不出治疗费了！好心人如愿捐款，请拨：966123。,海口罕见同卵三胞胎早产病危盼救助,”据悉，同卵三胞胎，比中百万巨奖几率还低，早产的三姐妹都在危险期，孩子爸妈却再拿不出治疗费了！,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151463165231073
46,1月23日，海南环岛西线高速公路儋州市白马井立交至海头互通之间路段，公路维修改造工程正紧张有序推进。据悉，目前整个路段维修改造工程已经接近尾声，预计春节前将全线完工通车。,海南西线高速修复预计春节前全线通车,据悉，目前整个路段维修改造工程已经接近尾声，预计春节前将全线完工通车。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476608251305123
47,经海南省民政厅批准，三沙市近日在永兴(镇)管委会设立三沙市婚姻登记点。不久后三沙市干部职工、社区居委会居民和驻市部队官兵均可在永兴岛办理婚姻登记业务。哇！再远的距离我们也能相爱,再远的距离我们也能相爱,经海南省民政厅批准，三沙市近日在永兴(镇)管委会设立三沙市婚姻登记点。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,咖喱鱼蛋、鸡蛋仔、车仔面、双皮奶……香港街头常见的小吃，在2015年第二届海南年货展暨迎春庙会上也有啦。很Q的咖喱鱼蛋则是用特种咖喱粉混合各种秘制酱料，搭配正宗的台湾鱼丸煮熟后食用。不贵，好吃又管饱。,地道香港街头小吃现年货展,香港街头常见的小吃，在2015年第二届海南年货展暨迎春庙会上也有啦。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024218026052883736
49,澄迈县红山农场及附近种植户求助：“因今年杨桃产量实在太多，却没商贩来收购；杨桃严重滞销”。如今每天看着很多熟透的杨桃自落树下，种植户们十分心痛。如有意收购者请联系：温先生(13976863776)；红山农场王先生(13016209381),澄迈几千亩杨桃滞销急盼买家,杨桃严重滞销”。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05231223689135342
50,针对一些婚恋网站屡现违法违规和严重失信行为的问题，为依法打击网上婚恋网站乱象，维护群众合法权益，促进网络诚信建设制度化，国家网信办联合有关部门在全国范围内启动开展“婚恋网站严重违规失信”专项整治工作。,国家网信办开展“婚恋网站严重违规失信”专项整治,针对一些婚恋网站屡现违法违规和严重失信行为的问题，为依法打击网上婚恋网站乱象，维护群众合法权益，促进网络诚信建设制度化，国家网信办联合有关部门在全国范围内启动开展“婚恋网站严重违规失信”专项整治工作。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185612986874714
51,4G网络快不快?测测才知道!1月22日，南海君和5位微博大V一起来到了海口市万绿园和上邦百汇城，用中国电信、中国移动、中国联通这三家运营商的4G网络进行测速体验。4G网络哪家强？欲知,微博大V体验4G极速网络,4G网络哪家强？,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04282963710525157
52,2014-2015国际拳联WSB世界职业拳击联赛常规赛第二轮暨里约奥运会资格赛将于明天在三亚开打，中国龙队的5名选手将在三亚房博会展馆迎战A组的俄罗斯队的5名选手。世界级拳王有可能从这里起步！,奥运会拳击资格赛为海南房博会“打气”,世界级拳王有可能从这里起步！,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1月21日21时，随着最后一段合龙段浇筑完成，拆除重建的东山大桥顺利合龙。一座全新大桥飞跨南渡江两岸，意味着海榆中线通行条件将大大改善。位于海榆中线澄迈永发镇内的东山大桥全长397米，大桥合龙后将转入桥面铺装，春节前有望通车。,海南东山大桥春节前可通车,位于海榆中线澄迈永发镇内的东山大桥全长397米，大桥合龙后将转入桥面铺装，春节前有望通车。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022073840970038994
54,家住海口市兴丹路的李先生每天都要开车经过红城湖路延长线，他对红城湖路延长线限速50公里表示非常不理解，认为周围热闹路段限速60公里、70公里，到这条车少人稀的路段，突然限速50公里，许多车主过红绿灯后来不及换挡，很容易就超速。,海口红城湖路延长线限速不合理,家住海口市兴丹路的李先生每天都要开车经过红城湖路延长线，他对红城湖路延长线限速50公里表示非常不理解，认为周围热闹路段限速60公里、70公里，到这条车少人稀的路段，突然限速50公里，许多车主过红绿灯后来不及换挡，很容易就超速。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035995605159860604
55,海南经济深观察最新一期节目很荣幸的邀请到了现任海南大学中国现代经济理论研究所所长，政协海南省委常委王毅武教授，王教授在这次访问中就最近火热的海南银行的设立以及克拉运河开通发表了自己的看法，,王毅武：开通克拉运河是天降大任于海南,海南经济深观察最新一期节目很荣幸的邀请到了现任海南大学中国现代经济理论研究所所长，政协海南省委常委王毅武教授，王教授在这次访问中就最近火热的海南银行的设立以及克拉运河开通发表了自己的看法，,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009366074330005709
56,1月21日起，《海南省厉行节约反对食品浪费的实施方案》印发，规定：公务用餐原则是实行自助餐，不提供高档菜肴酒水和香烟；单位食堂浪费要通报；餐饮企业主动帮助打包等等。公务员们，不能再大吃大喝了！,公务员们，要管好你们的嘴了,单位食堂浪费要通报；,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024761510494160165
57,无论您是身在异乡的游子，还是足不出户的宅男宅女，又或是昼伏夜出的夜猫一族，好消息！2015年第二届海南年货展联合易买商城，推出网上年货展，让全国消费者随时随地都能买到地道的海南年货。亲！请管好自己的双手哦~,海南年货展网上年货大街开卖啦,无论您是身在异乡的游子，还是足不出户的宅男宅女，又或是昼伏夜出的夜猫一族，好消息！,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
